System,DF Activated,FountainType,FountainCount,Painted,Filter Installed,Position,Outdoor,GISPropNum,PropertyName,OMPPropID,SubPropertyName,ParkDistrict,Borough,AMPSID,AMPSClass,AMPSStatus,AMPSParentID,AMPSName,CommunityBoard,CouncilDistrict,Precinct,ZIPCode
B236-DF0514,Activated,CS Concrete,1,TRUE,FALSE,"Under Tree, Out in Open, Just Outside Playground",TRUE,B236,Glenwood Playground,B236,,B-18,B,"100,038,214",DRINKFTN,I,B236,CS Concrete-Glenwood Playground,318,45,63,11234
B236-DF0515,Activated,C,1,FALSE,FALSE,"Under Tree, Out in Open, In Playground",TRUE,B236,Glenwood Playground,B236,,B-18,B,"100,038,232",DRINKFTN,I,B236,C-Glenwood Playground,318,45,63,11234
B236-DF0516,Activated,F High Low,2,TRUE,FALSE,"Out in Open, Just Outside Playground",TRUE,B236,Glenwood Playground,B236,,B-18,B,"100,038,221",DRINKFTN,I,B236,F High Low-Glenwood Playground,318,45,63,11234
B237-DF0312,Activated,C,1,TRUE,FALSE,In Playground,TRUE,B237,John Hancock Playground,B237,,B-03,B,"100,037,788",DRINKFTN,I,B237,C-John Hancock Playground,303,36,79,11216
B239-DF0693,Activated,D,1,FALSE,TRUE,In Playground,TRUE,B239,Sheepshead Playground,B239,,B-15,B,"100,039,173",DRINKFTN,I,B239,D-Sheepshead Playground,315,48,61,11235
B239-DF0695,Activated,D,1,FALSE,TRUE,In Playground,TRUE,B239,Sheepshead Playground,B239,,B-15,B,"100,039,124",DRINKFTN,I,B239,D-Sheepshead Playground,315,48,61,11235
B240-DF0618,Activated,D,1,FALSE,FALSE,Out in Open,TRUE,B240,Tucker Place,B240,,B-15,B,"100,038,513",DRINKFTN,I,B240,D-Tucker Place,315,48,61,11235
B243-DF0429,Activated,A,1,TRUE,FALSE,"Under Tree, Just Outside Playground",TRUE,B243,Golconda Playground,B243,,B-02,B,"100,037,908",DRINKFTN,I,B243,A-Golconda Playground,302,33,84,11201
B243-DF0430,Activated,C,1,FALSE,FALSE,"Out in Open, In Playground",TRUE,B243,Golconda Playground,B243,,B-02,B,"100,037,931",DRINKFTN,I,B243,C-Golconda Playground,302,33,84,11201
B243-DF0431,Activated,C,1,FALSE,FALSE,"In Shade, Out in Open",TRUE,B243,Golconda Playground,B243,,B-02,B,"100,038,017",DRINKFTN,I,B243,C-Golconda Playground,302,33,84,11201
B244-DF0660,Activated,C,1,TRUE,FALSE,Out in Open,TRUE,B244,McDonald Playground,B244,,B-15,B,"100,039,066",DRINKFTN,I,B244,C-McDonald Playground,315,47,61,11223
B244-DF0661,Activated,A,1,TRUE,FALSE,Out in Open,TRUE,B244,McDonald Playground,B244,,B-15,B,"100,038,996",DRINKFTN,I,B244,A-McDonald Playground,315,47,61,11223
B244-DF0663,Activated,C,1,TRUE,FALSE,In Playground,TRUE,B244,McDonald Playground,B244,,B-15,B,"100,039,077",DRINKFTN,I,B244,C-McDonald Playground,315,47,61,11223
B245-DF0468,Activated,C,1,TRUE,FALSE,"In Playground, Under Tree",TRUE,B245,St. John's Park,B245-02,St. John's Playground,B-08,B,"100,038,002",DRINKFTN,I,B245-02,C-St. John's Park-St. John's Playground,308,36,77,11213
B245-DF0469,Broken,A,1,TRUE,FALSE,"Out in Open, Near Ballfield",TRUE,B245,St. John's Park,B245,,B-08,B,"100,037,993",DRINKFTN,I,B245,A-St. John's Park,308,36,77,11213
B245-DF0471,Broken,A,1,TRUE,FALSE,"Out in Open, Near Ballfield",TRUE,B245,St. John's Park,B245,,B-08,B,"100,038,024",DRINKFTN,I,B245,A-St. John's Park,308,36,77,11213
